"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"1",2,0,1,1,4,0,1,10,1,1,1,3,1,1
"2",2,0,1,0,4,0,1,10,1,1,1,3,1,1
"3",1,0,1,0,4,1,1,10,1,1,1,1,10,1
"4",2,0,0,0,2,0,1,10,2,1,1,1,5,1
"5",2,0,1,0,3,0,1,10,1,1,1,2,5,1
"6",1,1,0,0,4,0,5,10,1,2,1,1,NA,1
"7",1,1,1,0,3,1,5,10,2,1,1,2,6,1
"8",2,0,0,1,1,NA,1,10,2,2,1,1,5,1
"9",2,0,1,0,4,0,5,9,2,1,1,3,1,1
"10",1,0,1,0,1,1,1,9,2,1,1,2,5,1
"11",1,0,0,1,1,0,1,9,2,1,1,2,5,1
"12",2,0,1,1,3,NA,1,9,2,1,1,2,1,1
"13",1,1,0,1,1,0,1,9,2,1,2,1,1,1
"14",2,1,1,0,3,0,1,9,2,1,2,1,5,1
"15",2,0,0,1,2,NA,1,9,1,1,1,2,5,1
"16",1,0,1,1,2,1,1,9,2,1,1,1,5,1
"17",1,1,1,0,4,0,5,8,1,1,1,3,6,1
"18",2,0,0,1,1,NA,1,8,1,2,2,4,4,1
"19",1,1,1,0,3,0,1,8,1,1,1,3,NA,1
"20",2,0,1,0,3,0,1,8,1,1,1,3,1,1
"21",2,0,1,0,1,NA,1,8,2,1,1,2,1,1
"22",1,0,1,0,1,1,1,8,2,1,1,2,10,1
"23",1,0,1,1,2,1,1,8,2,1,1,2,5,1
"24",1,0,1,1,4,1,1,8,2,1,1,2,1,1
"25",1,0,0,0,1,1,1,8,2,1,1,2,1,1
"26",1,1,1,1,3,0,1,8,1,1,2,2,5,1
"27",1,1,0,1,2,0,1,8,1,1,2,2,NA,1
"28",1,1,0,0,1,0,1,8,1,1,1,2,5,1
"29",2,0,0,1,2,NA,1,8,1,1,1,2,1,1
"30",1,1,1,1,3,0,1,8,2,1,1,1,5,1
"31",2,1,0,1,3,NA,1,8,2,1,1,3,1,1
"32",2,0,0,1,2,NA,1,8,1,2,1,2,1,1
"33",2,0,0,1,1,NA,1,8,2,2,1,1,8,1
"34",2,1,0,0,1,0,1,8,1,1,1,3,5,1
"35",1,0,1,1,3,1,1,8,2,1,2,2,10,1
"36",1,0,1,0,3,1,1,8,1,1,1,2,10,1
"37",1,0,0,0,3,1,1,8,1,1,1,2,5,1
"38",1,1,1,0,2,1,1,8,1,1,1,2,1,1
"39",1,0,1,1,3,1,1,8,2,1,1,2,10,1
"40",1,1,0,0,1,0,1,8,1,2,1,2,5,1
"41",1,0,1,0,3,0,1,8,2,1,1,2,1,1
"42",2,1,1,1,3,0,1,8,2,1,2,2,1,1
